,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
2019,B,Ship,4,4,212,3,medium,M,50,2073,1
2020,C,Ship,3,5,212,3,low,F,2,2456,1
2021,F,Ship,4,5,246,6,low,M,64,2271,1
2022,D,Ship,4,4,264,2,medium,F,12,2203,1
2023,F,Ship,3,4,208,2,low,F,37,2537,1
2024,A,Ship,3,4,210,3,low,F,7,2878,1
2025,B,Ship,3,2,183,3,low,F,44,2896,1
2026,C,Ship,4,2,265,3,low,F,41,3498,1
2027,F,Ship,3,5,187,3,low,M,20,2374,1
2028,D,Road,2,4,183,3,low,F,12,3090,1
2029,F,Road,3,3,176,2,low,F,58,1730,1
2030,A,Road,4,5,266,3,medium,M,5,3718,1
2031,B,Road,3,2,143,4,medium,F,22,1249,1
2032,C,Road,3,4,195,2,medium,F,32,3719,1
2033,F,Road,3,2,264,4,high,F,32,2754,1
2034,D,Road,3,5,243,2,medium,M,42,3421,1
2035,F,Road,5,2,142,2,low,F,55,1758,1
2036,A,Road,4,2,172,2,low,M,23,1019,1
2037,B,Road,4,1,280,3,medium,M,2,3366,1
2038,C,Road,3,2,254,2,low,M,37,2469,1
2039,F,Road,5,2,202,3,medium,M,34,3885,1
2040,D,Road,5,3,110,5,low,M,21,1011,1
2041,F,Road,4,4,162,2,medium,M,30,1158,1
2042,A,Road,3,3,183,3,medium,M,21,2585,1
2043,B,Road,4,2,260,2,low,F,31,2805,1
2044,C,Road,3,5,109,5,low,M,27,1581,1
2045,F,Road,3,3,273,4,low,M,12,2151,1
2046,D,Road,5,2,262,6,medium,M,10,3164,1
2047,F,Road,2,4,239,5,low,F,59,2181,1
2048,A,Road,3,2,185,2,high,F,49,3864,1
2049,B,Road,4,4,248,3,medium,M,59,2868,1
2050,C,Flight,5,4,180,2,low,M,52,1122,1
2051,F,Flight,4,5,221,3,low,F,43,3561,1
2052,D,Flight,3,5,162,2,low,M,28,1948,1
2053,F,Flight,2,5,162,4,medium,M,49,1671,1
2054,A,Flight,3,1,145,2,low,M,28,1313,1
2055,B,Flight,5,3,228,3,medium,F,38,3631,1
2056,C,Flight,3,4,196,3,low,M,47,2447,1
2057,F,Flight,3,4,254,2,high,M,56,3266,1
2058,D,Flight,5,2,215,2,medium,M,46,3942,1
2059,F,Flight,5,2,265,3,medium,F,33,2734,1
2060,A,Flight,3,2,173,3,high,M,60,1582,1
2061,B,Flight,4,2,233,7,medium,M,64,3146,1
2062,C,Flight,4,3,213,2,low,M,27,2034,1
2063,F,Flight,4,1,124,2,medium,M,22,1714,1
2064,D,Flight,3,4,156,4,medium,F,7,1492,1
2065,F,Flight,3,1,265,3,medium,M,11,2194,1
2066,A,Flight,3,1,139,3,high,F,6,1269,1
2067,B,Flight,2,4,225,10,high,M,46,2690,1
2068,C,Flight,5,4,178,7,medium,F,36,1179,1
2069,F,Flight,3,4,190,10,medium,F,32,2064,1
2070,D,Flight,3,4,272,10,medium,M,63,2455,1
2071,F,Flight,3,1,153,2,medium,F,51,1841,1
2072,A,Ship,3,1,235,10,low,M,7,2991,1
2073,B,Ship,5,1,214,3,low,M,33,2562,1
2074,C,Ship,3,4,175,2,low,F,2,1072,1
2075,F,Ship,3,1,176,3,low,F,63,1420,1
2076,D,Ship,3,4,172,10,high,F,23,1875,1
2077,F,Ship,5,2,195,6,low,M,35,1852,1
2078,A,Ship,3,5,271,4,low,F,10,1679,1
2079,B,Ship,5,4,228,3,medium,M,42,3145,1
2080,C,Ship,3,4,196,3,low,F,52,2129,1
2081,F,Ship,3,1,254,2,high,F,60,3590,1
2082,D,Ship,5,4,215,2,medium,M,34,2713,1
2083,F,Ship,5,5,265,3,medium,M,46,3997,1
2084,A,Ship,3,2,173,3,high,M,40,1723,1
2085,B,Ship,4,2,233,7,medium,M,56,3925,1
2086,C,Ship,4,4,213,2,low,F,27,2938,1
2087,F,Ship,4,2,124,2,medium,M,50,1592,1
2088,D,Ship,3,5,156,4,medium,F,26,1769,1
2089,F,Ship,3,1,265,3,medium,F,61,3010,1
2090,A,Ship,3,2,139,3,high,F,4,1546,1
2091,B,Ship,2,4,225,10,high,M,56,3384,1
2092,C,Ship,5,4,178,7,medium,M,52,1824,1
2093,F,Ship,3,3,190,10,medium,M,4,3062,1
2094,D,Ship,3,5,272,10,medium,M,59,2182,1
2095,F,Ship,3,4,153,2,medium,M,37,1740,1
2096,A,Ship,3,1,235,10,low,M,56,2175,1
2097,B,Ship,5,4,214,3,low,M,52,3403,1
2098,C,Ship,3,5,175,2,low,F,40,1460,1
2099,F,Ship,3,2,176,3,low,F,29,1953,1
2100,D,Ship,3,1,172,10,high,F,30,1294,1
2101,F,Ship,5,1,195,6,low,F,29,1039,1
2102,A,Ship,3,5,164,3,low,M,61,1473,1
2103,B,Ship,3,1,231,3,medium,F,33,2755,1
2104,C,Ship,5,5,248,3,medium,F,9,3873,1
2105,F,Ship,4,5,237,2,medium,F,60,3427,1
2106,D,Ship,3,1,111,4,low,F,8,1620,1
2107,F,Ship,5,5,106,5,low,F,46,1275,1
2108,A,Ship,4,2,139,3,low,M,29,1365,1
2109,B,Ship,4,3,149,2,low,F,58,1657,1
2110,C,Ship,4,5,180,3,low,F,24,1513,1
2111,F,Ship,3,2,212,2,medium,F,65,3776,1
2112,D,Ship,4,2,183,3,low,M,5,3716,1
2113,F,Ship,6,4,164,5,low,M,20,1555,1
2114,A,Ship,4,1,143,3,medium,F,28,1197,1
2115,B,Ship,3,3,162,2,medium,M,5,1202,1
2116,C,Ship,4,2,202,4,medium,M,56,3098,1
2117,F,Ship,3,2,135,2,medium,F,2,1150,1
2118,D,Ship,3,2,232,2,low,F,58,2054,1
2119,F,Ship,3,3,218,3,low,M,19,3770,1
2120,A,Ship,5,4,177,2,low,M,14,1735,1
2121,B,Ship,4,4,168,2,medium,M,63,1474,1
2122,C,Ship,3,4,181,2,medium,F,45,3448,1
2123,F,Ship,3,2,238,2,low,F,29,3728,1
2124,D,Ship,3,2,250,5,low,F,36,2717,1
2125,F,Ship,3,1,152,2,low,F,25,1848,1
2126,A,Ship,4,5,242,4,low,F,35,3215,1
2127,B,Ship,3,1,236,2,high,M,2,3949,1
2128,C,Ship,4,1,238,4,low,F,22,3950,1
2129,F,Ship,4,4,165,5,low,M,21,1727,1
2130,D,Ship,4,2,271,3,medium,M,50,3448,1
2131,F,Ship,3,3,109,2,medium,M,18,1661,1
2132,A,Ship,4,1,235,3,high,F,22,3695,1
2133,B,Ship,3,3,186,3,medium,M,49,2356,1
2134,C,Ship,4,1,202,2,low,M,40,2327,1
2135,F,Ship,3,3,188,4,medium,M,3,3075,1
2136,D,Ship,5,3,224,2,medium,M,52,3824,1
2137,F,Ship,5,3,239,4,low,M,3,3734,1
2138,A,Ship,2,3,140,2,medium,M,20,1832,1
2139,B,Ship,6,3,272,3,low,F,39,2518,1
2140,C,Ship,3,3,160,3,medium,F,65,1228,1
2141,F,Ship,3,3,261,3,medium,M,14,3479,1
2142,D,Ship,3,5,199,3,medium,F,62,3259,1
2143,F,Ship,3,1,154,2,medium,F,56,1300,1
2144,A,Ship,3,5,237,3,low,M,55,2451,1
2145,B,Ship,4,4,181,3,low,M,44,2070,1
2146,C,Ship,3,3,133,6,low,F,10,1686,1
2147,F,Ship,3,4,150,3,medium,M,47,1511,1
2148,D,Ship,6,5,152,3,medium,F,62,1325,1
2149,F,Ship,6,1,142,5,low,F,30,1464,1
2150,A,Ship,4,3,214,2,low,M,57,2078,1
2151,B,Ship,5,1,155,2,medium,F,40,1024,1
2152,C,Ship,4,2,191,2,low,M,11,3985,1
2153,F,Ship,4,5,133,2,medium,M,39,1106,1
2154,D,Ship,3,3,211,4,high,F,22,2942,1
2155,F,Ship,4,3,212,4,low,M,28,2422,1
2156,A,Ship,3,1,150,2,low,M,9,1158,1
2157,B,Ship,3,5,208,3,low,F,41,3977,1
2158,C,Ship,4,2,157,2,medium,M,15,1724,1
2159,F,Ship,4,4,228,3,low,M,60,2715,1
2160,D,Ship,3,4,254,2,medium,F,44,3786,1
2161,F,Ship,4,2,270,2,low,M,65,3599,1
2162,A,Ship,6,2,195,3,medium,M,30,3462,1
2163,B,Ship,4,5,193,4,low,M,33,2173,1
2164,C,Ship,5,4,165,3,medium,F,48,1240,1
2165,F,Road,3,1,177,2,low,M,38,1099,1
2166,D,Road,3,4,244,3,low,F,46,2844,1
2167,F,Road,3,2,151,2,low,M,26,1793,1
2168,A,Road,3,1,164,2,low,M,2,1104,1
2169,B,Road,5,1,165,3,low,F,37,1228,1
2170,C,Road,3,4,256,2,medium,M,55,2247,1
2171,F,Road,4,4,150,4,low,M,5,1263,1
2172,D,Road,2,3,255,3,low,M,27,3484,1
2173,F,Road,4,3,268,3,medium,F,23,2996,1
2174,A,Road,3,5,166,3,low,F,1,1366,1
2175,B,Road,3,5,230,3,low,F,49,3477,1
2176,C,Road,4,3,163,3,low,F,45,1395,1
2177,F,Road,4,4,139,3,high,F,64,1415,1
2178,D,Road,3,5,161,3,medium,F,10,1978,1
2179,F,Road,6,2,181,4,high,F,6,3003,1
2180,A,Road,4,1,242,3,high,M,47,3489,1
2181,B,Road,3,3,151,3,low,F,24,1139,1
2182,C,Road,3,4,167,3,medium,M,50,1068,1
2183,F,Road,3,2,257,3,low,F,25,2334,1
2184,D,Road,3,2,204,2,medium,F,35,2090,1
2185,F,Road,5,3,219,3,low,M,1,2027,1
2186,A,Road,3,4,202,3,medium,M,28,3707,1
2187,B,Flight,4,5,155,2,medium,M,41,1367,1
2188,C,Flight,3,3,183,3,high,F,6,3364,1
2189,F,Flight,5,1,184,3,low,F,19,2625,1
2190,D,Flight,4,5,230,2,low,F,38,2890,1
2191,F,Flight,4,2,139,4,low,F,41,1511,1
2192,A,Flight,4,4,252,3,medium,F,7,2477,1
2193,B,Flight,3,2,272,3,medium,F,40,3766,1
2194,C,Flight,3,2,134,3,low,F,20,1391,1
2195,F,Flight,3,5,169,3,medium,M,13,1934,1
2196,D,Flight,4,2,214,2,low,M,49,3416,1
2197,F,Flight,3,3,163,3,medium,F,65,1614,1
2198,A,Flight,4,2,150,3,low,F,48,1193,1
2199,B,Flight,5,5,216,2,high,M,33,3202,1
2200,C,Flight,5,2,116,5,high,F,56,1130,1
2201,F,Flight,3,4,144,2,low,F,33,1811,1
2202,D,Flight,5,3,266,3,low,F,19,2508,1
2203,F,Flight,3,3,154,4,medium,F,62,1616,1
2204,A,Flight,4,3,255,5,low,M,18,3644,1
2205,B,Flight,6,2,229,3,medium,M,13,2322,1
2206,C,Flight,2,1,111,3,medium,M,16,1882,1
2207,F,Flight,3,3,160,2,medium,F,32,1718,1
2208,D,Flight,3,1,184,2,low,F,31,3191,1
2209,F,Ship,4,4,218,4,low,M,45,3234,1
2210,A,Ship,5,1,137,2,low,M,52,1012,1
2211,B,Ship,4,2,204,3,medium,M,14,3829,1
2212,C,Ship,6,1,105,5,low,F,57,1784,1
2213,F,Ship,3,1,256,2,medium,F,63,3046,1
2214,D,Ship,4,2,182,2,medium,F,54,3261,1
2215,F,Ship,3,4,260,4,high,M,17,2666,1
2216,A,Ship,4,2,166,3,low,M,62,1944,1
2217,B,Ship,5,2,160,4,medium,M,43,1479,1
2218,C,Ship,4,2,243,3,medium,F,13,2850,1
2219,F,Ship,6,5,240,4,medium,M,62,2400,1
2220,D,Ship,6,1,229,6,low,M,35,3239,1
2221,F,Ship,3,1,164,2,low,M,2,1304,1
2222,A,Ship,3,4,234,3,medium,F,37,2111,1
2223,B,Ship,4,1,97,2,high,M,15,1836,1
2224,C,Ship,4,3,258,3,low,F,12,2017,1
2225,F,Ship,3,1,147,2,medium,M,52,1934,1
2226,D,Ship,4,3,180,4,low,M,14,1686,1
2227,F,Ship,5,1,212,3,low,F,11,2073,1
2228,A,Ship,3,4,198,2,medium,M,19,2373,1
2229,B,Ship,3,1,239,3,low,F,63,2154,1
2230,C,Ship,4,3,158,2,low,M,46,1374,1
2231,F,Ship,4,3,218,3,high,F,57,3311,1
2232,D,Ship,4,4,156,3,low,M,20,1523,1
2233,F,Ship,3,4,235,3,low,M,52,3447,1
2234,A,Ship,4,5,168,3,low,F,4,1363,1
2235,B,Ship,3,1,178,3,high,F,36,1297,1
2236,C,Ship,4,2,275,3,medium,M,26,2449,1
2237,F,Ship,3,4,139,2,low,M,45,1192,1
2238,D,Ship,2,5,236,3,medium,F,13,2171,1
2239,F,Ship,3,4,155,2,low,F,37,1780,1
2240,A,Ship,3,3,168,3,medium,M,11,1008,1
2241,B,Ship,4,1,151,2,low,M,42,1367,1
2242,C,Ship,3,4,113,4,low,F,56,1154,1
2243,F,Ship,4,3,133,3,medium,F,50,1861,1
2244,D,Ship,5,4,163,4,medium,M,57,1613,1
2245,F,Ship,5,3,206,2,medium,F,59,3278,1
2246,A,Ship,3,2,177,2,medium,F,23,1929,1
2247,B,Ship,3,2,206,2,low,M,3,2261,1
2248,C,Ship,5,1,189,3,medium,M,13,3492,1
2249,F,Ship,3,4,270,2,low,M,39,3690,1
2250,D,Ship,4,1,238,3,low,F,33,2013,1
2251,F,Ship,5,1,143,2,low,M,46,1387,1
2252,A,Ship,4,1,173,2,medium,M,53,1251,1
2253,B,Ship,3,5,134,3,medium,M,38,1169,1
2254,C,Ship,4,4,176,3,high,M,34,1283,1
2255,F,Ship,4,3,160,2,medium,F,38,1961,1
2256,D,Ship,3,4,230,3,high,F,22,3546,1
2257,F,Ship,4,5,178,3,low,F,5,1012,1
2258,A,Ship,3,2,256,4,low,F,18,2699,1
2259,B,Ship,3,4,256,4,low,M,11,3030,1
2260,C,Ship,3,2,208,4,medium,M,52,2900,1
2261,F,Ship,4,3,119,3,low,F,40,1233,1
2262,D,Ship,3,3,114,6,low,F,26,1825,1
2263,F,Ship,3,5,225,3,low,F,1,2864,1
2264,A,Ship,4,5,155,4,high,F,48,1972,1
2265,B,Ship,4,4,223,3,medium,F,51,3895,1
2266,C,Ship,5,3,194,3,medium,F,6,2736,1
2267,F,Ship,5,4,281,4,medium,F,40,3381,1
2268,D,Ship,4,1,132,4,medium,F,10,1343,1
2269,F,Ship,4,1,229,3,medium,F,53,3423,1
2270,A,Ship,4,2,251,3,low,F,10,3517,1
2271,B,Ship,4,1,113,3,low,F,60,1200,1
2272,C,Ship,5,5,234,6,low,F,52,2615,1
2273,F,Ship,3,3,181,2,medium,M,58,3719,1
2274,D,Ship,5,2,157,2,low,M,32,1497,1
2275,F,Ship,3,1,155,3,low,M,49,1203,1
2276,A,Ship,3,4,209,2,low,M,62,2935,1
2277,B,Ship,4,3,264,3,low,F,39,2213,1
2278,C,Ship,3,1,268,3,low,F,47,2479,1
2279,F,Ship,6,1,224,3,medium,M,64,2705,1
2280,D,Ship,4,4,223,10,low,M,24,3271,1
2281,F,Ship,3,2,191,3,high,F,42,2374,1
2282,A,Ship,4,1,184,3,high,F,47,3081,1
2283,B,Ship,6,5,174,3,medium,F,32,1921,1
2284,C,Ship,6,3,134,8,high,F,12,1371,1
2285,F,Ship,4,1,135,2,high,F,25,1009,1
2286,D,Ship,5,4,234,2,high,F,61,3084,1
2287,F,Ship,3,1,215,6,high,M,5,3432,1
2288,A,Ship,5,4,187,2,medium,F,10,3549,1
2289,B,Ship,3,1,238,2,medium,F,50,3438,1
2290,C,Ship,4,2,273,4,low,F,26,3223,1
2291,F,Ship,5,4,192,3,medium,M,46,3709,1
2292,D,Ship,3,5,268,4,high,M,5,3446,1
2293,F,Ship,3,5,225,3,low,F,12,2721,1
2294,A,Ship,4,5,155,4,high,F,54,1408,1
2295,B,Ship,4,2,223,3,medium,F,56,3158,1
2296,C,Ship,5,1,194,3,medium,F,32,3003,1
2297,F,Ship,5,4,281,4,medium,M,56,3709,1
2298,D,Ship,4,5,132,4,medium,F,28,1715,1
2299,F,Ship,4,1,229,3,medium,F,20,2891,1
2300,A,Ship,4,1,251,3,low,F,33,2502,1
2301,B,Ship,4,5,113,3,low,F,52,1741,1
2302,C,Road,5,2,234,6,low,F,58,2448,1
2303,F,Road,3,3,181,2,medium,F,52,3236,1
2304,D,Road,5,2,157,2,low,M,58,1654,1
2305,F,Road,3,3,155,3,low,M,20,1830,1
2306,A,Road,3,5,209,2,low,M,33,2603,1
2307,B,Road,4,1,264,3,low,M,13,3015,1
2308,C,Road,3,2,268,3,low,M,30,2867,1
2309,F,Road,6,2,224,3,medium,F,26,3247,1
2310,D,Road,4,3,223,10,low,F,21,2943,1
2311,F,Road,3,5,191,3,high,F,17,2235,1
2312,A,Road,4,4,184,3,high,F,27,3967,1
2313,B,Road,6,4,174,3,medium,F,14,1651,1
2314,C,Road,6,2,134,8,high,M,42,1054,1
2315,F,Road,4,5,135,2,high,F,22,1195,1
2316,D,Road,5,5,234,2,high,M,50,3914,1
2317,F,Road,3,1,215,6,high,M,42,3715,1
2318,A,Road,5,2,187,2,medium,F,29,2863,1
2319,B,Road,3,2,238,2,medium,F,32,3274,1
2320,C,Road,4,1,273,4,low,F,54,2611,1
2321,F,Road,5,5,192,3,medium,F,37,2197,1
2322,D,Road,3,5,268,4,high,M,19,2893,1
2323,F,Road,3,4,164,3,low,M,5,1408,1
2324,A,Flight,2,2,255,3,low,M,59,1514,1
2325,B,Flight,4,4,141,2,low,F,30,1130,1
2326,C,Flight,2,5,202,3,low,M,50,2587,1
2327,F,Flight,4,4,282,6,medium,F,52,3009,1
2328,D,Flight,6,4,190,3,low,M,7,3175,1
2329,F,Flight,4,2,192,4,low,F,61,2256,1
2330,A,Flight,3,4,179,2,low,M,51,1041,1
2331,B,Flight,4,3,238,2,medium,M,43,2200,1
2332,C,Flight,3,2,181,4,low,F,18,3696,1
2333,F,Flight,5,2,128,5,medium,F,45,1707,1
2334,D,Flight,5,1,285,5,low,M,51,2063,1
2335,F,Flight,5,5,273,3,medium,F,18,2415,1
2336,A,Flight,2,2,242,6,low,F,63,3144,1
2337,B,Flight,3,4,226,3,medium,F,22,3593,1
2338,C,Flight,2,5,255,4,low,F,36,2093,1
2339,F,Flight,5,1,198,2,medium,F,37,3025,1
2340,D,Flight,5,4,263,3,medium,M,59,3978,1
2341,F,Flight,3,5,186,2,low,F,39,2197,1
2342,A,Flight,5,2,260,3,low,F,22,2935,1
2343,B,Flight,4,2,167,2,low,F,5,1169,1
2344,C,Flight,4,3,210,3,low,F,46,2344,1
2345,F,Flight,4,5,216,3,low,F,20,3549,1
2346,D,Ship,3,2,273,3,low,F,12,2154,1
2347,F,Ship,5,1,153,2,low,F,55,1414,1
2348,A,Ship,3,2,183,3,medium,F,44,3809,1
2349,B,Ship,4,1,224,3,medium,F,36,3499,1
2350,C,Ship,5,1,170,3,high,M,58,1651,1
2351,F,Ship,5,1,237,4,low,M,33,2605,1
2352,D,Ship,5,5,234,6,medium,F,60,2443,1
2353,F,Ship,3,2,264,3,medium,F,43,3439,1
2354,A,Ship,2,2,153,3,low,F,55,1273,1
2355,B,Ship,4,3,228,4,low,M,61,3583,1
2356,C,Ship,3,5,264,2,medium,M,33,2021,1
2357,F,Ship,4,3,267,3,low,F,42,2332,1
2358,D,Ship,3,2,213,2,low,M,22,3248,1
2359,F,Ship,4,1,181,3,medium,M,38,3258,1
2360,A,Ship,6,4,209,5,low,F,53,3169,1
2361,B,Ship,3,2,165,3,low,F,19,1111,1
2362,C,Ship,3,4,164,3,high,F,55,1293,1
2363,F,Ship,5,5,141,2,medium,M,14,1114,1
2364,D,Ship,3,2,164,4,medium,M,2,1701,1
2365,F,Ship,3,3,178,2,medium,M,4,1778,1
2366,A,Ship,5,4,200,3,medium,M,24,2078,1
2367,B,Ship,4,5,185,2,low,F,47,3974,1
2368,C,Ship,2,1,180,2,medium,F,31,1078,1
2369,F,Ship,4,5,144,3,low,M,9,1526,1
2370,D,Ship,4,4,161,4,low,F,14,1194,1
2371,F,Ship,4,5,152,3,medium,M,25,1222,1
2372,A,Ship,2,3,129,3,low,M,50,1111,1
2373,B,Ship,5,2,140,3,medium,F,16,1969,1
2374,C,Ship,4,1,270,4,medium,F,64,3312,1
2375,F,Ship,3,2,183,3,medium,F,25,2023,1
2376,D,Ship,4,1,264,3,low,F,39,3719,1
2377,F,Ship,3,2,167,4,medium,M,49,1973,1
2378,A,Ship,5,1,219,3,low,M,14,2447,1
2379,B,Ship,4,2,225,3,low,M,52,3189,1
2380,C,Ship,4,1,228,3,low,F,53,2021,1
2381,F,Ship,3,5,119,3,medium,M,7,1021,1
2382,D,Ship,3,5,244,3,low,F,8,3154,1
2383,F,Ship,4,3,163,5,low,M,29,1349,1
2384,A,Ship,4,5,260,3,medium,M,59,3951,1
2385,B,Ship,4,3,135,2,medium,F,53,1073,1
2386,C,Ship,5,2,167,3,medium,F,7,1939,1
2387,F,Ship,4,4,233,3,medium,F,14,2522,1
2388,D,Ship,4,5,147,2,medium,F,19,1940,1
2389,F,Ship,2,4,159,2,low,F,17,1686,1
2390,A,Ship,4,2,139,3,medium,M,5,1674,1
2391,B,Ship,3,1,200,2,low,F,44,2651,1
2392,C,Ship,4,1,221,3,low,F,3,2546,1
2393,F,Ship,4,3,158,3,low,M,18,1036,1
2394,D,Ship,4,5,227,3,low,M,65,3984,1
2395,F,Ship,3,3,179,3,medium,F,12,1125,1
2396,A,Ship,3,2,232,3,low,F,64,3131,1
2397,B,Ship,3,3,139,2,low,M,9,1177,1
2398,C,Ship,6,3,195,2,medium,M,21,3869,1
2399,F,Ship,6,2,276,6,medium,M,7,2437,1
2400,D,Ship,2,5,171,3,medium,F,13,1101,1
2401,F,Ship,5,4,259,3,medium,F,43,2685,1
2402,A,Ship,3,2,123,4,medium,F,7,1596,1
2403,B,Ship,3,2,199,4,low,F,47,2208,1
2404,C,Ship,4,3,226,2,low,F,32,2912,1
2405,F,Ship,4,2,149,3,medium,F,54,1506,1
2406,D,Ship,3,5,115,3,medium,M,60,1122,1
2407,F,Ship,3,2,243,2,medium,M,26,2719,1
2408,A,Ship,2,4,136,6,medium,M,58,1479,1
2409,B,Ship,3,2,180,2,low,F,6,1811,1
2410,C,Ship,4,1,274,4,medium,M,57,3332,1
2411,F,Ship,6,5,233,6,medium,M,48,3341,1
2412,D,Ship,3,2,254,2,medium,F,2,3239,1
2413,F,Ship,4,5,153,3,high,F,3,1347,1
2414,A,Ship,6,3,175,5,medium,F,64,1860,1
2415,B,Ship,5,2,207,2,low,F,35,2184,1
2416,C,Ship,3,1,153,2,low,F,6,1314,1
2417,F,Ship,3,4,228,2,medium,M,65,3943,1
2418,D,Ship,5,2,96,2,low,F,50,1186,1
2419,F,Ship,4,4,241,3,high,M,39,3798,1
2420,A,Ship,5,2,249,5,high,F,28,2846,1
2421,B,Ship,3,3,188,5,low,M,25,3992,1
2422,C,Ship,3,2,154,2,high,F,4,1009,1
2423,F,Ship,4,4,226,2,high,M,53,3154,1
2424,D,Ship,5,3,250,2,low,F,14,2064,1
2425,F,Ship,3,1,150,2,medium,F,46,1431,1
2426,A,Ship,3,5,267,2,low,F,16,2913,1
2427,B,Ship,4,3,223,3,low,M,35,2715,1
2428,C,Ship,4,5,192,3,medium,F,41,3873,1
2429,F,Ship,3,2,143,3,low,F,58,1785,1
2430,D,Ship,3,5,113,2,low,F,19,1660,1
2431,F,Ship,4,1,135,3,medium,M,39,1549,1
2432,A,Ship,4,4,189,4,high,F,56,2646,1
2433,B,Ship,3,2,245,3,medium,M,13,3775,1
2434,C,Ship,3,5,181,2,low,M,29,2217,1
2435,F,Ship,3,2,207,2,medium,F,37,2460,1
2436,D,Ship,3,1,169,2,medium,F,19,1183,1
2437,F,Ship,4,5,206,3,low,F,65,2598,1
2438,A,Ship,2,5,117,3,low,M,44,1192,1
2439,B,Road,2,1,115,3,high,M,42,1247,1
2440,C,Road,3,3,149,3,low,F,63,1196,1
2441,F,Road,4,5,133,3,medium,M,3,1403,1
2442,D,Road,4,3,271,2,medium,M,22,2595,1
2443,F,Road,2,5,116,3,low,F,3,1688,1
2444,A,Road,3,5,139,2,medium,M,64,1857,1
2445,B,Road,4,3,216,3,medium,M,35,2567,1
2446,C,Road,3,5,165,2,high,F,37,1234,1
2447,F,Road,6,5,286,4,low,F,31,3774,1
2448,D,Road,5,3,136,3,medium,F,13,1446,1
2449,F,Road,4,5,225,4,low,M,48,2767,1
2450,A,Road,4,2,163,3,low,F,27,1639,1
2451,B,Road,4,3,272,4,low,M,61,2857,1
2452,C,Road,4,3,135,2,high,M,24,1292,1
2453,F,Road,4,5,184,3,low,F,64,3812,1
2454,D,Road,4,5,219,2,medium,F,28,2164,1
2455,F,Road,3,3,249,2,medium,M,53,2323,1
2456,A,Road,2,3,142,3,low,F,46,1694,1
2457,B,Road,5,2,137,3,medium,M,47,1023,1
2458,C,Road,2,5,168,3,low,M,37,1717,1
2459,F,Road,5,5,165,3,medium,F,32,1798,1
2460,D,Road,3,3,199,2,low,M,4,3553,1
2461,F,Flight,3,3,246,3,low,M,27,3648,1
2462,A,Flight,5,2,224,4,medium,M,43,2336,1
2463,B,Flight,5,5,216,6,low,M,54,2075,1
2464,C,Flight,5,3,167,2,low,M,3,1140,1
2465,F,Flight,4,2,182,3,medium,M,14,3413,1
2466,D,Flight,6,1,126,3,medium,F,37,1697,1
2467,F,Flight,5,1,170,3,medium,F,48,1299,1
2468,A,Flight,4,2,148,3,medium,M,2,1805,1
2469,B,Flight,4,2,141,3,medium,M,61,1875,1
2470,C,Flight,5,5,169,2,medium,F,14,1497,1
2471,F,Flight,5,2,143,3,medium,M,12,1802,1
2472,D,Flight,4,5,156,3,low,F,60,1553,1
2473,F,Flight,5,1,241,4,medium,F,19,2193,1
2474,A,Flight,3,4,212,3,medium,F,13,2307,1
2475,B,Flight,5,3,265,3,medium,M,30,2293,1
2476,C,Flight,3,4,243,3,low,F,60,2980,1
2477,F,Flight,5,2,209,4,medium,M,15,3330,1
2478,D,Flight,4,5,229,3,medium,M,21,2688,1
2479,F,Flight,3,1,257,2,low,F,45,3496,1
2480,A,Flight,5,5,209,3,low,M,49,3893,1
2481,B,Flight,3,3,142,3,medium,M,23,1897,1
2482,C,Flight,3,5,208,4,medium,M,12,3181,1
2483,F,Ship,6,3,167,6,low,F,15,1278,1
2484,D,Ship,3,5,266,3,medium,M,16,2334,1
2485,F,Ship,5,3,210,2,medium,M,44,3382,1
2486,A,Ship,2,2,147,2,medium,F,49,1447,1
2487,B,Ship,5,2,132,2,medium,M,8,1665,1
2488,C,Ship,3,4,269,3,medium,F,21,3716,1
2489,F,Ship,5,3,148,3,medium,F,48,1099,1
2490,D,Ship,4,5,268,2,high,M,32,3675,1
2491,F,Ship,3,5,156,2,low,F,43,1301,1
2492,A,Ship,5,1,222,4,low,M,63,3506,1
2493,B,Ship,4,5,151,3,high,F,31,1365,1
2494,C,Ship,3,3,236,3,low,F,28,3652,1
2495,F,Ship,3,5,229,3,medium,F,12,3049,1
2496,D,Ship,4,3,261,3,low,M,42,2664,1
2497,F,Ship,2,1,229,4,low,M,6,3757,1
2498,A,Ship,4,5,205,3,low,F,60,2317,1
2499,B,Ship,3,4,240,2,low,M,8,3883,1
2500,C,Ship,4,3,209,6,low,F,59,2622,1
2501,F,Ship,2,1,252,2,low,M,35,2526,1
2502,D,Ship,3,4,140,2,medium,M,48,1102,1
2503,F,Ship,5,4,156,2,low,F,57,1842,1
2504,A,Ship,2,2,190,8,medium,M,33,3448,1
2505,B,Ship,3,4,138,6,medium,M,5,1853,1
2506,C,Ship,5,4,243,3,low,F,35,2899,1
2507,F,Ship,3,1,183,2,low,M,58,3027,1
2508,D,Ship,3,5,190,10,medium,M,26,3244,1
2509,F,Ship,5,1,235,2,low,M,27,2451,1
2510,A,Ship,3,2,143,6,medium,M,63,1953,1
